title,link,price,rating,reviews
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,$299.00,4.8 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,$449.00,4.8 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,,,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,"$1,099.00",4.8 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,"$1,699.00",4.7 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,$649.00,4.8 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,$739.97,,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,$129.99,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,$399.00,4.7 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,$177.00,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,"$1,099.00",4.7 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,"$1,499.00",4.5 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,"$2,434.00",4.5 out of 5 stars,
,https://www.amazon.com/s?k=ipad&crid=1ZY02724OXD57&sprefix=ipad%2Caps%2C432&ref=nb_sb_noss_1,"$1,699.00",4.5 out of 5 stars,
